Date,Open,High,Low,Close,Volume,Adj Close
2014-10-30,52.25,53.75,51.50,53.75,53300,49.44
2014-10-29,51.75,52.25,51.75,52.25,20700,48.06
2014-10-28,52.00,52.00,51.25,51.25,34400,47.14
2014-10-27,51.50,51.75,51.00,51.75,146100,47.60
2014-10-24,51.50,51.50,51.00,51.00,39600,46.91
2014-10-23,51.50,51.75,50.25,51.00,309400,46.91
2014-10-22,51.75,51.75,50.75,51.50,223400,47.37
2014-10-21,51.25,51.25,50.75,50.75,39100,46.68
2014-10-20,51.00,52.00,51.00,51.00,52200,46.91
2014-10-17,50.00,51.75,49.40,51.00,84400,46.91
2014-10-16,51.00,51.25,49.70,50.00,116600,45.99
2014-10-15,52.75,52.75,49.60,51.00,305600,46.91
2014-10-14,48.80,52.75,48.70,52.75,151200,48.52
2014-10-13,50.75,50.75,49.00,49.60,69500,45.62
2014-10-10,50.50,50.50,48.10,49.90,78500,45.90
2014-10-09,52.25,52.50,50.25,50.75,165300,46.68
2014-10-08,52.00,52.00,50.50,50.75,212900,46.68
2014-10-07,52.00,52.25,50.00,52.00,78600,47.83
2014-10-06,52.25,54.00,51.25,51.50,55200,47.37
2014-10-03,51.00,51.50,50.50,51.00,10400,46.91
2014-10-02,52.00,52.00,50.50,51.00,59700,46.91
2014-10-01,52.25,52.25,51.50,52.00,96200,47.83
2014-09-30,51.50,52.25,51.00,52.25,52800,48.06
2014-09-29,51.25,52.00,51.00,51.25,162900,47.14
2014-09-26,52.00,52.00,51.00,51.25,32000,47.14
2014-09-25,52.00,52.00,50.75,51.25,164500,47.14
2014-09-24,52.25,52.25,50.50,51.00,118500,46.91
2014-09-23,50.50,52.50,50.25,51.00,102700,46.91
2014-09-22,51.00,51.00,50.00,50.25,50200,46.22
2014-09-19,50.75,51.00,49.50,50.50,46800,46.45
2014-09-18,50.00,51.00,50.00,51.00,29500,46.91
2014-09-17,50.50,51.00,50.00,51.00,282000,46.91
2014-09-16,50.25,50.75,50.00,50.75,56700,46.68
2014-09-15,52.00,52.00,50.00,50.75,41300,46.68
2014-09-12,51.00,52.25,51.00,52.00,17500,47.83
2014-09-11,50.25,51.00,50.00,50.50,178500,46.45
2014-09-10,51.75,51.75,49.30,50.50,82600,46.45
2014-09-09,52.25,52.25,50.25,50.75,39200,46.68
2014-09-08,52.75,52.75,51.50,51.50,104300,47.37
2014-09-05,52.75,53.00,52.50,52.75,479700,48.52
2014-09-04,52.50,53.00,52.50,52.75,89800,48.52
2014-09-03,52.00,52.50,52.00,52.25,59100,48.06
2014-09-02,52.00,52.50,51.50,52.00,163200,47.83
2014-09-01,53.00,53.00,50.75,52.00,13800,47.83
2014-08-29,52.00,53.00,51.50,53.00,151300,48.75
2014-08-28,51.50,53.00,51.50,51.50,48600,47.37
2014-08-27,53.00,53.75,52.50,52.50,27300,48.29
2014-08-26,51.25,53.50,50.50,53.25,77600,48.98
2014-08-25,53.00,53.25,50.25,51.75,89400,47.60
2014-08-22,50.50,54.25,50.00,53.00,162800,48.75
2014-08-21,46.00,51.00,45.50,51.00,306800,46.91
2014-08-20,47.50,47.80,46.50,47.70,57400,43.87
2014-08-19,47.70,47.70,46.60,47.60,48000,43.78
2014-08-18,47.10,47.80,46.70,47.70,54000,43.87
2014-08-15,47.00,47.50,47.00,47.10,58300,43.32
2014-08-14,46.00,47.50,46.00,47.00,71800,43.23
2014-08-13,46.90,46.90,45.50,46.00,120800,42.31
2014-08-12,47.00,47.00,45.80,45.80,25900,42.13
2014-08-11,46.80,46.80,45.70,45.70,12300,42.04
2014-08-08,46.30,46.30,45.60,46.00,253800,42.31
2014-08-07,46.50,46.50,46.00,46.40,24400,42.68
2014-08-06,46.00,46.20,45.30,46.20,457200,42.50
2014-08-05,46.50,46.50,46.00,46.00,398100,42.31
2014-08-04,45.50,46.20,45.10,46.00,84600,42.31
2014-08-01,45.50,45.90,45.10,45.90,33300,42.22
2014-07-31,45.00,46.00,44.70,46.00,116800,42.31
2014-07-30,45.10,45.30,44.70,45.10,72700,41.48
2014-07-29,45.50,45.60,45.10,45.10,59300,41.48
2014-07-28,46.60,46.60,45.20,45.50,14600,41.85
2014-07-25,46.60,47.00,45.70,45.80,65200,42.13
2014-07-24,45.90,46.40,45.40,46.00,166800,42.31
2014-07-23,45.70,47.00,45.70,45.90,33500,42.22
2014-07-22,46.90,47.70,46.20,46.30,26400,42.59
2014-07-21,46.30,47.80,46.00,47.80,1158400,43.97
2014-07-18,46.30,46.70,45.70,46.30,109600,42.59
2014-07-17,46.50,46.50,46.00,46.10,64100,42.40
2014-07-16,46.40,46.60,46.30,46.40,148000,42.68
2014-07-15,46.50,46.50,45.70,46.50,448500,42.77
2014-07-14,46.70,46.80,46.30,46.40,156400,42.68
2014-07-11,45.00,46.70,45.00,46.70,150400,42.96
2014-07-10,46.20,46.30,45.60,46.00,1475800,42.31
2014-07-09,46.00,46.70,46.00,46.20,96300,42.50
2014-07-08,47.10,47.10,46.30,46.30,204100,42.59
2014-07-07,46.80,47.30,46.50,47.10,475400,43.32
2014-07-04,47.50,47.70,45.00,46.90,213600,43.14
2014-07-03,47.00,47.70,47.00,47.70,285000,43.87
2014-07-02,47.50,47.50,46.80,47.00,461600,43.23
2014-07-01,47.50,47.90,47.00,47.60,678400,43.78
2014-06-30,48.00,48.00,46.70,47.50,1011500,43.69
2014-06-27,45.80,48.50,44.30,47.00,11234600,43.23
