MEPR.ST	MEDIAPROVIDER SCA	0
MIC-SDB.ST	MILLICOM INT. CELL	0
MICR.ST	Micronic Mydata AB	0
MIDW-A.ST	Midway Holding AB	0
MIDW-B.ST	Midway Holding AB	0
MIDWB.ST	Midway Holding	0
MII.ST	MINERAL INVEST INTL	0
MIR.ST	MIRIS HOLDING	0
MMG.ST	MOBICARD MEDIA	0
MOBI-SD	.ST MOBILE LOYALTY SDR	0
MOBS.ST	MOBISPINE	0
MOBY.ST	Mobyson AB	0
MOD1.ST	Modul 1 Data AB	0
MORP-B.ST	Morphic Technologies AB	0
MPEN.ST	MEDICPEN	0
MROX-A.ST	MEDIROX -A-	0
MROX-B.ST	MEDIROX -B-	0
MSAB-B.ST	MICRO SYSTEM -B-	0
MSC-B.ST	MSC Konsult AB	0
MSCB.ST	MSC Konsult AB	0
MSON-A.ST	Midsona AB	0
MSON-B.ST	Midsona AB	0
MTG-A.ST	Modern Times Group MTG AB	0
MTG-B.ST	Modern Times Group MTG AB	0
MTGA.ST	MODERN TIMES GROUP AB	0
MTGB.ST	MTG (Modern Times Group)	0
MTRO-SDB-A.ST	METRO INTL SDR -A-	0
MTRO-SDB-B.ST	Metro Intl	0
MTRS.ST	Munters AB	0
MULQ.ST	Multiq International AB	0
MVIR-B.ST	Medivir AB	0
MVIRB.ST	Medivir AB	0
NAXS.ST	NAXS NORD ACCESS FD	0
NCAS-B.ST	NOVACAST -B-	0
NCC-A.ST	NCC AB	0
NCC-B.ST	NCC AB	0
NCCA.ST	NCC AB	0
NCCB.ST	NCC -B-	0
NDA-SEK.ST	Nordea Bank AB	0
NDIQ.ST	NORDIQ GOTEBORG	0
NEO-IL-1.ST	NEONET -B- RED 08/1	0
NEO-IL-2.ST	NEONET -B- RED.08/2	0
NEO.ST	NeoNet AB	0
NET-B.ST	Net Entertainment NE AB	0
NETI-B.ST	Net Insight AB	0
NETIB.ST	Net Insight AB	0
NETR.ST	Netrevelation AB	0
NEWA-B.ST	New Wave Group AB	0
NEWAB.ST	New Wave Group AB	0
NEXU.ST	Technology Nexus AB	0
NHYO.ST	Norsk Hydro ASA	0
NIBE-B.ST	NIBE IND.-B-	0
NIBEB.ST	Nibe AB	0
NILG-B.ST	Nilorngruppen	0
NILGB.ST	Nilorngruppen	0
NISC-B.ST	Niscayah Group AB	0
NMAN.ST	NEDERMAN HOLDING	0
NN-B.ST	Nordnet AB	0
NNB.ST	Nordnet Ab	0
NNH.ST	NEW NORD HEALTHBRAN	0
NOBI.ST	Nobia AB	0
NOCMB.ST	Intoi AB	0
NODO.ST	NORDIC SEMICONDUCTO	0
NOFO.ST	NORTHERN OFF (BERM)	0
NOK1V.ST	Nokia Oyj	0
NOKI-SEK.ST	Nokia Oyj	0
NOLA-B.ST	Nolato AB	0
NOLAB.ST	Nolato AB	0
NOMI-TR.ST	NORDIC MINES RTS 12	0
NOMI.ST	Nordic Mines AB	0
NON.ST	Netonnet Ab	0
NOTE.ST	Note AB	0
NOVE.ST	Novestra AB	0
NOVU.ST	NOVUS GROUP INTL	0
NSGO.ST	Norske Skogindustrier ASA	0
NSP-B.ST	Nordic Service Partners Holding AB	0
NTEK-B.ST	Novotek AB	0
NTEKB.ST	Novotek AB	0
NVP.ST	NEUROVIVE PHARMA	0
OASM-BTA.ST	OASMIA I12/1	0
OASM.ST	Oasmia Pharmaceutical AB	0
ODD.ST	Odd Molly International AB	0
ODEN.ST	ODEN CONTROL	0
ODENB.ST	ODEN CONTROL -B-	0
OEM-B.ST	OEM International AB	0
OEMB.ST	OEM International AB	0
OFAB.ST	ONSKEFOTO	0
OLDM.ST	Old Mutual Plc	0
ONE.ST	ONE MEDIA NETWORK	0
OPCO-BTA.ST	OPCON I12	0
OPCO.ST	Opcon AB	0
OPUS.ST	OPUS Prodox AB	0
ORC.ST	ORC Software AB	0
ORES.ST	Investment Ab Oresund	0
ORI-SDB.ST	Oriflame Cosmetics SA	0
ORKO.ST	Orkla	0
ORTI-A.ST	Ortivus AB	0
ORTI-B.ST	Ortivus AB	0
ORTIB.ST	Ortivus AB	0
ORX.ST	Orexo AB	0
OS.ST	OraSolv AB	0
OXGN.ST	Oxigene	0
PACT.ST	Proact IT Group AB	0
PALS-B.ST	PALLAS GROUP -B-	0
PAR-BTA-A.ST	PA RES -A- I13/1	0
PAR-SEK.ST	PA Resources AB	0
PAR-TR-A.ST	PA RES RTS 13/A	0
PAR-TR-B.ST	PA RES RTS 13/B	0
PARA-BTA.ST	PARANS SOLAR	0
PART.ST	PartnerTech AB	0
PCOM-B.ST	PRECOMP SOLUTI -B-	0
PDXE.ST	Paradox Entertainment AB	0
PEAB-B.ST	Peab AB	0
PEABB.ST	PEAB AB	0
PFE.ST	Pfizer	0
PHAL.ST	PHARMALUNDENSIS	0
PHON.ST	Phonera AB	0
PIL-B-BTA.ST	PILUM -B- I12	0
PIL-B.ST	PILUM -B-	0
PIL-BTA1-B.ST	PILUM -B- I08	0
POOL-B.ST	Poolia AB	0
POOLB.ST	Poolia AB	0
PRCO-B.ST	PRECIO SYS -B-	0
PREC.ST	Precise Biometrics Ab	0
PREV-B.ST	Prevas AB	0
PREVB.ST	Prevas AB	0
PRIC-B.ST	Pricer AB	0
PRICB.ST	Pricer AB	0
PROB.ST	Probi Ab	0
PROE-B.ST	Proffice AB	0
PROEB.ST	Proffice AB	0
PROF-B.ST	ProfilGruppen AB	0
PROFB.ST	Profil gruppen	0
PSI-SEK.ST	PSI Group ASA	0
PVE.ST	PV ENTERPRISE SWED	0
PXXS-SDB.ST	BlackPearl Resources	0
QECO.ST	Questerre Energy Corporation	0
QFRO.ST	Q-FREE	0
QMED.ST	Q Med AB	0
RABT-B.ST	Rederi AB Transatlantic	0
RAIL.ST	RAILCARE GROUP	0
RAST.ST	Rasta Group AB	0
RATO-A.ST	Ratos AB	0
RATO-B.ST	Ratos AB	0
RATOA.ST	RATOS -A-	0
RATOB.ST	Ratos AB	0
RAY-B.ST	RaySearch Laboratories AB	0
RAYB.ST	RaySearch Laboratories AB	0
RBAB-B.ST	RELATION & BRAN -B-	0
RBET.ST	Redbet Holding AB	0
RCLN-B.ST	RAYCLINIC -B-	0
REACHO.ST	REACH SUBSEA	0
RECO.ST	Renewable Energy Corporation ASA	0
