AAK.ST|AarhusKarlshamn AB
MSAB-B.ST|MICRO SYSTEM -B-
NTEK-B.ST|Novotek AB
BBTO-B.ST|B&B Tools AB
BRG-TR-B.ST|BERGS TIMBER RTS 12
ACCE-B.ST|Accelerator Nordic AB
SKF-B.ST|SKF, Group
HPOL-B.ST|Hexpol AB
PIL-B.ST|PILUM -B-
CI-B.ST|CELL IMPACT -B-
ENT-B.ST|ENTRACTION HOLD -B-
TWW-SDB-B.ST|Transcom WorldWide S.A
HAV-B.ST|Havsfrun AB
THK-B.ST|THENBERG&KINDE -B-
MSON-A.ST|Midsona AB
PAR-BTA-A.ST|PA RES -A- I13/1
CAT-A.ST|Catella AB
CONP-A.ST|CONPHARM -A-
BIAP-A.ST|Biosensor Applications Sweden AB
HUSQ-A.ST|Husqvarna AB
SVOL-A.ST|Svolder AB
MIDW-A.ST|Midway Holding AB
KINV-A.ST|KINNEVIK INV. -A-
ELUX-A.ST|Electrolux AB
ORTI-A.ST|Ortivus AB
BIAP-TR-A.ST|BIOSENSOR RTS 13/A
HUFV-A.ST|Hufvudstaden AB
PAR-TR-A.ST|PA RES RTS 13/A
SSAB-A.ST|SSAB Corp
INVE-A.ST|Investor AB
IFS-A.ST|Industrial & Financial Systems AB
BILI-A.ST|Bilia AB
SEB-A.ST|Skandinaviska Enskilda Banken AB
CRED-A.ST|CREADES -A-
SEB-C.ST|Skandinaviska Enskilda Banken AB
HUFV-C.ST|Hufvudstaden AB
INDU-C.ST|IND.VAERDEN -C-
STE-R.ST|Stora Enso Oyj
SCH-O.ST|Schibsted ASA


ERIC-B.ST	Ericsson
VOLV-B.ST	Volvo AB
NDA-SEK.ST	Nordea Bank
TLSN.ST	Teliasonera Ab
SWED-A.ST	Swedbank AB
SEB-A.ST	S E Banken
ATCO-A.ST	Atlas Copco AB
BOL.ST	Boliden AB
WSIB-SDB.ST	West Siberian Resources Ltd.
SKF-B.ST	SKF AB
PRIC-B.ST	Pricer AB
49924.ST	MALKA OIL
ALFA.ST	Alfa Laval AB
43577.ST	Entraction Holding AB
SCV-B.ST	Scania AB
SHB-A.ST	Svenska Handelsbanken AB
ELUX-B.ST	Electrolux AB
ENRO.ST	Eniro AB
HM-B.ST	Hennes & Mauritz AB
SSAB-A.ST	SSAB Svenskt Stal
SKA-B.ST	Skanska AB
SCA-B.ST	SCA Sv Cellulosa
SYKA.ST	SYSTEM KAPIT SVERIG
EPCT.ST	EpiCept Corp
ASSA-B.ST	Assa Abloy AB
INVE-B.ST	Investor AB
TEL2-B.ST	Tele2 Ab
LUMI-SDB.ST	LUNDIN MINING SDR
SECU-B.ST	Securitas AB
STAR.ST	STARBREEZE
LUPE.ST	Lundin Petroleum AB
BIAP-A.ST	BIOSENSOR -A-
HEXA-B.ST	Hexagon AB
PAR-SEK.ST	PA Resources AB
KARO.ST	Karo Bio AB
MORP-B.ST	Morphic Technologies AB
ATCO-B.ST	ATLAS COPCO -B-
HUSQ-B.ST	Husqvarna AB
LABS.ST	Labs2 Group AB
FABG.ST	Fabege AB
CEAB.ST	COMM ENT SVENSKA
MEDA-A.ST	Meda AB
360H.ST	360 Holding AB
MTRO-SDB-B.ST	Metro Intl
PXXS-SDB.ST	PEARL EXPLOR SDB
GETI-B.ST	Getinge AB
NETI-B.ST	Net Insight AB
KLED.ST	Kungsleden AB
KINV-B.ST	Investment AB Kinnevik
TREL-B.ST	Trelleborg AB
MTG-B.ST	MTG (Modern Times Group)
INDU-C.ST	IND.VAERDEN -C-
CAST.ST	Castellum AB
JM.ST	JM AB
RNBS.ST	Rnb Retail And Brands
SSAB-B.ST	SSAB -B-
SWED-PREF.ST	SWEDBANK PRF
IJ.ST	Intrum Justitia AB
VOLV-A.ST	VOLVO -A-
NISC-B.ST	Niscayah Group AB
AXLN.ST	Axlon Group AB
STE-R.ST	STORA ENSO -R-
SPEL.ST	PSI SPELINVEST
DV.ST	Digital Vision AB
BIOP.ST	BioPhausia AB
EKTA-B.ST	Elekta AB
ATI.ST	AQUA TERRENA INTL
FATV.ST	FASTTV NET
PEAB-B.ST	PEAB AB
SAS.ST	SAS
MOBY.ST	Mobyson AB
HOLM-B.ST	Holmen Ab
LOOM-B.ST	LOOMIS B-
SCOR.ST	Switchcore AB
RAIL.ST	RAILCARE GROUP
SCMI.ST	ScanMining AB
BILL.ST	Billerud Aktiebolag
VNIL-SDB.ST	VOST NAFTA INV SDB
PIL-B.ST	Pilum AB
NOBI.ST	Nobia AB
NCC-B.ST	NCC -B-
DNET.ST	DO NETWORKS SVERIGE
SENS.ST	Sensys Trafic
RFIG.ST	RADIO FREQ INV GRP
MTRO-SDB-A.ST	METRO INTL SDR -A-
RROS.ST	Rottneros AB
SEAN.ST	SEANET MARI COMMUN
BWL.ST	Bringwell International AB
OS.ST	OraSolv AB
CSN.ST	Cision AB
ANOT.ST	Anoto Group Ab
RAST.ST	Rasta Group AB
47245.ST	Bredband2 i Skandinavien AB
YILD-B.ST	YIELD -B-
TRIC.ST	Tricorona Ab
RATO-B.ST	Ratos AB
FOLL.ST	FOLLOWIT HOLDING
AXIS.ST	Axis AB
INTS.ST	INTIUS
INDU-A.ST	Industrivarden
KLOV.ST	Klovern Ab
HUFV-A.ST	Hufvudstaden Ab
MIC-SDB.ST	MILLICOM INT. CELL
ALIV-SDB.ST	Autoliv
EOS.ST	ENERGYO SOL RUSSIA
BETS-B.ST	Betsson Ab
SAAB-B.ST	Saab AB
PREC.ST	Precise Biometrics Ab
ASP.ST	Aspiro AB
IMSG.ST	INTL MARK & SALES
KAHL.ST	KappAhl Holding AB
AUH.ST	AU HOLDING
BEGR.ST	BE Group AB
BINV.ST	Bioinvent International Ab
GULD.ST	GULD INVEST NORDEN
WIHL.ST	Wihlborgs Fastigheter AB
INVE-A.ST	INVESTOR -A-
COIL.ST	SVENSKA CAPITAL OIL
MICR.ST	Micronic Laser System
NEWA-B.ST	New Wave Group AB
CAPE.ST	CAPERIO HOLDING
BORE.ST	BOREVIND
OPUS.ST	OPUS Prodox AB
KMIN-B.ST	KOPPARBERG MINE -B-
BEF-SDB.ST	BLACK EARTH FA SDB
WISE.ST	WISE GROUP
XTRA.ST	Xtranet Gruppen i Stockholm AB
GGF.ST	GLOB GAMING FACT X
MOD1.ST	Modul 1 Data AB
MOBS.ST	MOBISPINE
NET-B.ST	NET ENTERTAINM -B-
SEB-C.ST	S-E-BANKEN -C-
REZT.ST	Rezidor Hotel Group AB
MULQ.ST	Multiq International AB
NETR.ST	Netrevelation AB
VKG.ST	VKG Energy Services AB
CZON-B.ST	CRYPTZONE -B-
KNOW.ST	Know IT AB
FING-B.ST	Fingerprint Cards AB
SCV-A.ST	SCANIA -A-
BURE.ST	Bure Equity AB
TIEN.ST	TietoEnator Oyj
PROE-B.ST	Proffice AB
ARTI-B.ST	Artimplant AB
TRAD.ST	TradeDoubler AB
UNIB-SDB.ST	Unibet Group Plc
AXFO.ST	Axfood Ab
EMTR.ST	Emitor Holding AB
TILG.ST	Tilgin AB
QMED.ST	Q Med AB
ROSF-B.ST	ReadSoft AB
ECEX.ST	EAST CAPITAL EXPLOR
LIAB.ST	Lindab AB
HUSQ-A.ST	HUSQVARNA
ONE.ST	ONE MEDIA NETWORK
SIGM-B.ST	Sigma Ab
HPOL-B.ST	HEXPOL -B-
NEO.ST	NeoNet AB
47719.ST	MedCap AB
FEEL.ST	Feelgood Svenska Ab
43882.ST	Venue Retail Group AB
TWW-SDB-B.ST	Transcom Worldwide SA
JELL.ST	JELLO
STEK.ST	Skanditek
IMPC.ST	Impact Coatings AB
46705.ST	Aqeri Holding AB
NIBE-B.ST	Nibe AB
WALL-B.ST	Wallenstam Byggn
ICAP.ST	ICT NORD FASTIG
RAY-B.ST	RaySearch Laboratories AB
TELC-B.ST	Teleca Ab
PCOM-B.ST	PRECOMP SOLUTI -B-
MCRO.ST	Micro Holding AB
HOGA-B.ST	Hoganas
BIOT.ST	BIOTAGE
BMIM.ST	B&M IMPEX
HLDX.ST	Haldex AB
47940.ST	CAPILON
AAK.ST	Aarhus Karlshamn
TRIA.ST	TRIMERA
CATH-B.ST	CATECH -B-
WSAB-B.ST	WHITE SHARK -B-
MSON-B.ST	MIDELFART SONES -B-
NOLA-B.ST	Nolato AB
CYBE.ST	Cybercom Group Europe Ab
DIAM-B.ST	Diamyd Medical AB
SEMC.ST	Semcon AB
LINE-B.ST	LINEAR -B-
MTRS.ST	Munters AB
SHB-B.ST	SV HANDBK -B-
ACAN-B.ST	Acando AB
GUNN.ST	Gunnebo AB
PVE.ST	PV ENTERPRISE SWED
FUND.ST	FUNDIOR
SOF-B.ST	Softronic AB
HIQ.ST	HiQ International AB
BRO-B.ST	Brostrom AB
SEAN-BTA-1.ST	SEANET MARIT I09/1
ORES.ST	Investment Ab Oresund
HAM-B.ST	HAMMAR INVEST -B-
GIFT.ST	GIFTTODAY
NOMI.ST	NORDIC MINES
SKF-A.ST	SKF -A-
